Combination,freq,sumoutput,win,wr,avg out,freqnon,winnon,wrnon,sumnon,freqab,winab,wrab,sumab,freqinv,wininv,wrinv,suminv
BJauhCuramSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhCuramSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhCuramBesarYes,3,-0.46%,2,67%,1,1,0,0.00%,-2.00%,1,1,33.33%,0.06%,1,1,33.33%,1.48%
BJauhCuramBesarNo,37,42.21%,21,57%,12,12,0,0.00%,-15.08%,9,7,18.92%,19.66%,16,14,37.84%,37.63%
BJauhJauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhJauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhJauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhJauhSedangNo,8,11.14%,5,63%,2,2,0,0.00%,-1.60%,4,3,37.50%,1.84%,2,2,25.00%,10.90%
BJauhJauhBesarYes,1,-0.59%,0,0%,1,1,0,0.00%,-0.59%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhJauhBesarNo,22,67.66%,12,55%,8,8,0,0.00%,-9.09%,8,7,31.82%,33.52%,6,5,22.73%,43.23%
BJauhTdk JauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhTdk JauhKecilNo,1,-2.00%,0,0%,1,1,0,0.00%,-2.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhTdk JauhSedangYes,1,0.11%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,0.11%,0,0,0.00%,0.00%
BJauhTdk JauhSedangNo,8,19.76%,6,75%,2,2,0,0.00%,-1.89%,4,4,50.00%,16.85%,2,2,25.00%,4.80%
BJauhTdk JauhBesarYes,1,-2.00%,0,0%,1,1,0,0.00%,-2.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhTdk JauhBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhnondefKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhnondefKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhnondefSedangYes,2,18.62%,2,100%,0,0,0,0.00%,0.00%,2,2,100.00%,18.62%,0,0,0.00%,0.00%
BJauhnondefSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhnondefBesarYes,1,-0.87%,0,0%,1,1,0,0.00%,-0.87%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhnondefBesarNo,1,-1.00%,0,0%,1,1,0,0.00%,-1.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhMendekatiKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhMendekatiKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhMendekatiSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhMendekatiSedangNo,2,3.99%,1,50%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,2,1,50.00%,3.99%
BJauhMendekatiBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
